Municipality code;promedio_tasa_dengue_mensual;promedio_tasa_dengue_mensual_x10000_habitantes
5001;0.00013985617814641648;1.3985617814643019
5002;2.981705440708962e-05;0.2981705440709392
5004;1.690095373076389e-05;0.16900953730765417
5021;1.753918860751667e-05;0.17539188607518696
5030;0.00015826316758330705;1.5826316758331886
5031;7.492954583881774e-06;0.07492954583881775
5034;4.431015603187935e-05;0.44310156031882897
5036;9.473647285156944e-06;0.09473647285160351
5038;5.666032752395665e-06;0.05666032752395665
5040;3.088792751894652e-05;0.30887927518948666
5042;0.0002627994489306108;2.627994489306258
5044;0.00010072064032361389;1.0072064032362575
5045;7.454690540684039e-05;0.7454690540685234
5051;0.00010512211613095739;1.0512211613097753
5055;7.320530300104167e-06;0.07320530300107055
5059;9.079842172552292e-05;0.9079842172553756
5079;7.541965715914491e-05;0.754196571591554
5086;5.8658263058826395e-06;0.05865826305883496
5088;8.91006456256277e-05;0.8910064562563996
5091;0.00010723650438102074;1.0723650438102745
5093;3.947937987568229e-05;0.3947937987568548
5101;0.00017961900427014555;1.7961900427016504
5107;3.563872119083403e-05;0.35638721190838785
5113;3.6221991623786804e-05;0.3622199162379254
5120;5.998353117122879e-05;0.5998353117123681
5125;1.2020452823724306e-05;0.12020452823727094
5129;2.1791663160947704e-05;0.21791663160950372
5134;8.07222445719375e-06;0.08072224457195903
5138;6.920447864791073e-05;0.692044786479181
5142;0.00010317304593355624;1.031730459335663
5145;2.5734167294618056e-06;0.02573416729462892
5147;0.00010078448592194822;1.0078448592196372
5148;2.8820862722342813e-06;0.028820862722342806
5150;6.713892940593056e-06;0.06713892940594995
5154;5.112443854756903e-05;0.5112443854757506
5172;4.784616072579007e-05;0.4784616072579831
5190;0.00016300163262085888;1.6300163262087772
5197;2.0469273569400274e-05;0.20469273569401147
5206;9.829283908568056e-06;0.0982928390857041
5209;7.525233846667332e-06;0.07525233846667331
5212;8.530974271431216e-05;0.8530974271432249
5234;6.544692932880489e-05;0.6544692932881407
5237;5.245776969927083e-06;0.05245776969928041
5240;4.309512390887507e-05;0.43095123908879657
5250;6.636316343336209e-05;0.6636316343337296
5264;1.9982659064855767e-06;0.019982659064855766
5266;8.361843876902869e-05;0.836184387690349
5282;6.197042122257221e-05;0.6197042122257584
5284;5.332420033966377e-05;0.5332420033966796
5306;9.37647440832639e-06;0.09376474408327967
5308;0.00010482361152410838;1.0482361152412478
5310;8.667341998241767e-06;0.08667341998243239
5313;0.00013201464585815687;1.3201464585816327
5315;9.826115774572916e-06;0.0982611577457434
5318;4.5122604637902566e-06;0.045122604637902554
5321;2.7842071056270834e-05;0.2784207105627756
5347;6.705803350767916e-05;0.6705803350768531
5353;0.00016666078895822016;1.66660788958227
5360;0.00021626557355038315;2.1626557355039857
5361;3.7418958863438e-05;0.37418958863440765
5364;1.6674173005003854e-05;0.16674173005006832
5368;2.3056128870022588e-05;0.23056128870025955
5376;5.715950864311651e-06;0.0571595086431165
5380;9.349801677612115e-05;0.934980167761259
5390;0.0002355126109449778;2.35512610945002
5400;3.4069904820216575e-06;0.03406990482021657
5411;0.00012140600970366151;1.2140600970368025
5425;0.00011678661731863194;1.1678661731865314
5440;4.196238925254578e-06;0.04196238925254578
5467;3.123258332854583e-05;0.31232583328551045
5475;7.78780741152986e-06;0.07787807411531922
5480;7.763467523589271e-05;0.7763467523590437
5483;1.2429692110139772e-05;0.12429692110141256
5490;0.00017833680405372816;1.783368040537503
5495;6.931382102117599e-05;0.6931382102118033
5501;5.890450935315209e-05;0.589045093531569
5541;3.5487035486432895e-06;0.035487035486432894
5543;0.00012834173590159652;1.2834173590160405
5576;8.77029089876736e-06;0.08770290898770622
5579;0.00016292113941346778;1.6292113941349315
5585;8.194916112709613e-05;0.8194916112711401
5591;7.395680696294374e-05;0.7395680696296105
5604;4.361745804952345e-05;0.43617458049529145
5607;7.39953603267218e-06;0.07399536032673355
5615;3.981314749486964e-06;0.03981314749486964
5628;3.7685331414027084e-05;0.3768533141403463
5631;9.09784486732781e-05;0.9097844867328563
5642;3.12885671271888e-05;0.3128856712719539
5647;1.6747262100461114e-05;0.16747262100465526
5649;5.535742896299969e-05;0.553574289630077
5652;1.5066422308651388e-05;0.15066422308655608
5656;0.00023029758869681918;2.302975886968418
5658;1.4533735297606944e-05;0.14533735297608247
5659;8.828553940999146e-05;0.8828553941000171
5660;9.073783192862416e-05;0.9073783192863581
5664;8.274540525237602e-06;0.08274540525237825
5665;9.211314676865085e-05;0.9211314676866168
5667;7.736682646634591e-05;0.7736682646635248
5670;1.8483659811047554e-05;0.18483659811049613
5674;9.350614385496852e-06;0.09350614385497383
5679;0.00010993542935103271;1.099354293510437
5686;6.031413972283604e-06;0.06031413972283603
5690;2.1184496634454975e-05;0.21184496634457392
5697;4.446088093039734e-06;0.04446088093039734
5736;6.590023034703352e-05;0.6590023034704117
5756;6.137199314134549e-06;0.061371993141345484
5761;0.0001429200667735658;1.4292006677358886
5789;4.064351565927099e-05;0.4064351565927362
5790;6.878217861657939e-05;0.6878217861658802
5792;0.00017750264934574515;1.7750264934575934
5809;0.00011594105888572996;1.1594105888573687
5819;5.361862636814236e-05;0.5361862636815222
5837;7.855896994172126e-05;0.7855896994173499
5842;9.652225030847846e-05;0.9652225030849425
5847;5.473112757654772e-06;0.05473112757655332
5854;5.981330038871084e-05;0.5981330038871803
5856;0.0003456277494235069;3.4562774942352967
5858;8.049148847016931e-05;0.8049148847017675
5861;7.799002212567638e-05;0.7799002212568494
5873;1.703799600053333e-05;0.17037996000538713
