Cod_Div,Municipio,Humedad
15442,MARIPÍ,91.32875
15455,MIRAFLORES,93.6975
15464,MONGUA,88.485
15466,MONGUÍ,87.08250000000001
15469,MONIQUIRÁ,89.39375
15476,MOTAVITA,86.85249999999999
15480,MUZO,91.88374999999999
15491,NOBSA,83.11375000000001
15494,NUEVO COLÓN,89.20750000000001
15500,OICATÁ,87.57875
15507,OTANCHE,91.3875
15511,PACHAVITA,93.27875
15514,PÁEZ,93.5475
15516,PAIPA,83.91125
15518,PAJARITO,92.6125
15522,PANQUEBA,87.0375
15531,PAUNA,91.17375
15533,PAYA,91.99625
15537,PAZ DE RÍO,82.9725
15542,PESCA,86.87125
15550,PISBA,92.265
15572,PUERTO BOYACÁ,86.43625
15580,QUÍPAMA,92.31625
15599,RAMIRIQUÍ,89.8125
15600,RÁQUIRA,84.71375
15621,RONDÓN,91.845
15632,SABOYÁ,88.6925
15638,SÁCHICA,85.2675
15646,SAMACÁ,84.43625
17001,MANIZALES,93.68625
17013,AGUADAS,92.54249999999999
17042,ANSERMA,91.11
17050,ARANZAZU,92.54375
17088,BELALCÁZAR,90.47749999999999
17174,CHINCHINÁ,92.03125
17272,FILADELFIA,92.1575
17380,LA DORADA,86.00375
17388,LA MERCED,92.57374999999999
17433,MANZANARES,90.95
17442,MARMATO,93.06
17444,MARQUETALIA,88.40375
17446,MARULANDA,93.79375
17486,NEIRA,92.73375
17495,NORCASIA,87.88875
17513,PÁCORA,92.96625
17524,PALESTINA,91.72
17541,PENSILVANIA,92.50625
17614,RIOSUCIO,92.89500000000001
17616,RISARALDA,90.5475
17653,SALAMINA,92.715
17662,SAMANÁ,88.6275
18001,FLORENCIA,92.66625
18029,ALBANIA,91.32875
18094,BELÉN DE LOS ANDAQUÍES,92.07875
18150,CARTAGENA DEL CHAIRÁ,90.705
18205,CURILLO,90.27625
18247,EL DONCELLO,90.72375
18256,EL PAUJÍL,90.73375
18410,LA MONTAÑITA,90.8425
18460,MILÁN,89.9825
18479,MORELIA,90.95125
18592,PUERTO RICO,91.22375
19001,POPAYÁN,88.8025
19022,ALMAGUER,87.14874999999999
19050,ARGELIA,93.36875
19075,BALBOA,86.17125
19100,BOLÍVAR,84.17875000000001
19110,BUENOS AIRES,89.71124999999999
19130,CAJIBÍO,89.425
19137,CALDONO,89.32875
19142,CALOTO,87.8625
19212,CORINTO,88.15625
19256,EL TAMBO,90.3725
19290,FLORENCIA,84.12875
19300,GUACHENÉ,87.075
19318,GUAPÍ,91.02000000000001
19355,INZÁ,89.61125
19364,JAMBALÓ,90.95125
19392,LA SIERRA,85.93625
19397,LA VEGA,87.985
19418,LÓPEZ DE MICAY,95.845
19450,MERCADERES,83.00125
19455,MIRANDA,87.56875
19473,MORALES,91.18875
19513,PADILLA,86.83250000000001
19517,PÁEZ,89.47749999999999
19532,PATÍA,83.13875
19533,PIAMONTE,91.40625
19548,PIENDAMÓ - TUNÍA,89.01124999999999
19573,PUERTO TEJADA,85.8075
19585,PURACÉ,90.64750000000001
19622,ROSAS,85.67625000000001
20011,AGUACHICA,88.52125
20013,AGUSTÍN CODAZZI,83.455
20032,ASTREA,87.39874999999999
20045,BECERRIL,84.71000000000001
20060,BOSCONIA,80.21375
20175,CHIMICHAGUA,88.075
20178,CHIRIGUANA,87.43875
20228,CURUMANÍ,89.5525
20238,EL COPEY,83.19874999999999
20250,EL PASO,84.46000000000001
20295,GAMARRA,86.58375
20310,GONZÁLEZ,89.91
20383,LA GLORIA,86.3725
20400,LA JAGUA DE IBIRICO,87.41375000000001
20443,MANAURE BALCÓN DEL CESAR,90.3225
20517,PAILITAS,89.01875
20550,PELAYA,87.30125000000001
20570,PUEBLO BELLO,87.39500000000001
20614,RÍO DE ORO,89.60625
20621,LA PAZ,84.44125
20710,SAN ALBERTO,89.68375
23001,MONTERÍA,89.23125
23068,AYAPEL,89.79249999999999
23079,BUENAVISTA,89.1825
23090,CANALETE,88.85125000000001
23162,CERETÉ,89.68375
23168,CHIMÁ,89.6725
23182,CHINÚ,89.375
23189,CIÉNAGA DE ORO,89.70125
23300,COTORRA,89.85625
23350,LA APARTADA,89.455
23417,LORICA,88.5875
23419,LOS CÓRDOBAS,85.01875
23464,MOMIL,89.42375
23466,MONTELÍBANO,89.41625
23500,MOÑITOS,82.82625
23555,PLANETA RICA,89.6125
23570,PUEBLO NUEVO,89.86875
23574,PUERTO ESCONDIDO,83.8425
23580,PUERTO LIBERTADOR,89.2175
23586,PURÍSIMA DE LA CONCEPCIÓN,89.42999999999999
23660,SAHAGÚN,89.46875
23670,SAN ANDRÉS DE SOTAVENTO,89.4975
23672,SAN ANTERO,85.08375
25001,AGUA DE DIOS,78.34375
25019,ALBÁN,86.35375
25035,ANAPOIMA,79.13374999999999
25040,ANOLAIMA,84.46375
25053,ARBELÁEZ,83.9525
25086,BELTRÁN,79.96000000000001
25095,BITUIMA,85.16499999999999
25099,BOJACÁ,84.155
25120,CABRERA,89.59625
25123,CACHIPAY,83.85
25126,CAJICÁ,84.98375
25148,CAPARRAPÍ,90.52125
25151,CÁQUEZA,92.505
25154,CARMEN DE CARUPA,87.705
25168,CHAGUANÍ,84.35375
25175,CHÍA,85.21875
25178,CHIPAQUE,89.96625
25181,CHOACHÍ,91.41
25183,CHOCONTÁ,88.61625000000001
25200,COGUA,85.45125
25214,COTA,85.30499999999999
