Municipality code;Tasa2007(x10000);Tasa2008(x10000);Tasa2009(x10000);Tasa2010(x10000);Tasa2011(x10000);Tasa2012(x10000);Tasa2013(x10000);Tasa2014(x10000);Tasa2015(x10000);Tasa2016(x10000);Tasa2017(x10000);Tasa2018(x10000);Tasa2019(x10000)
5234;0.48828125;12.52649836;0;34.29161969;6.016290263;13.22268831;13.52935871;2.234636872;5.327413984;2.65627767;2.648655807;1.301857316;62.35218233
5237;0;0;0;0.565642853;0;0;0;1.08371715;2.158894646;1.615074024;1.072501073;1.058089091;0.517277054
5240;0;0;0.866701335;9.447736838;0;1.698946653;1.689617302;0;5.013368984;38.36850446;2.504591752;2.467511104;0
5250;0.250802568;0.491038547;1.203948953;3.780718336;4.627701421;5.654701319;5.090184796;15.75210927;7.957115336;13.39448797;20.19921976;17.16092708;61.02975909
5264;0;0;0;0;0;0;0;0;1.928826309;0.948676596;0;0;0.872219799
5266;0.163707204;1.940000108;1.652064548;76.57645788;1.507879973;1.125636368;3.782453451;4.069842467;3.734999369;20.49833949;3.480194529;1.878976439;2.583497802
5282;0;0.845451471;0.837556012;1.661612595;0.834028357;0;0.854481757;1.275347532;0.845344266;77.07534852;4.188832572;0.819403474;0.407282206
5284;0;6.687242798;0.508259212;34.15197629;0.993245928;1.47080453;4.856962456;0.966183575;0;6.288091322;14.59569913;6.268383239;1.452292201
5306;0;0;0;0;0;2.02020202;3.956478734;0;3.827751196;1.893939394;0;1.803751804;3.538570418
5308;0;29.15451895;0.221832782;55.10307128;4.115850356;3.41975335;14.37389025;23.65055778;6.011857871;14.10725604;0.400280196;0.387131741;3.197772845
5310;0;0;0;0.840972164;0;0;2.64713668;0.920301859;2.938871473;3.06372549;2.069964811;0;2.035002035
5313;0;162.2172785;0.913575735;2.705139766;3.560619548;5.276580776;2.626280312;4.398697985;2.712477396;5.690440061;0;0;0
5315;0;0;0;0;0;4.790801661;0;1.571338781;1.563477173;4.669987547;1.554001554;0;0
5318;0;0.237687773;0;1.61674019;0.227391591;0;1.100667004;0.866382205;0.211738799;2.043151357;0.193896149;0;0
5321;0;0;0;1.552072016;0;0;1.441129846;1.393534002;3.996802558;29.24720244;2.461841457;0;1.169864296
5347;1.475579165;2.915026964;0;1.437194596;0;0;0;9.52532148;6.570302234;70.97109226;0;3.66905155;1.851851852
5353;0;0;0;96.50646593;1.908396947;0;0;1.872308556;16.79731243;111.8151323;7.434944238;3.656975681;0
5360;0;3.218525835;2.109116957;137.3108483;4.117336316;3.749617386;28.05982567;11.31980704;9.349519301;105.8281413;4.408425972;1.951261816;1.973262296
5361;0;0;0.399010454;5.132659507;1.169818678;2.313386798;0.76449677;1.137742718;3.019779556;38.81812015;1.128286133;0;0.729421204
5364;0;2.199736032;0;3.606983119;0;1.427042455;0.708968451;1.408549898;2.104524728;9.799804004;0;2.755200441;2.046105579
5368;0;0.732010834;0;4.292766688;0.706164819;0;0.693673696;4.880769767;1.421767257;16.04668125;3.693853428;0.73313783;0
5376;0;1.209994555;0.199389867;2.75878377;0.777952817;0;1.31953477;1.108708908;0.178580995;0.678023561;0;0;0.299643424
5380;0;1.669325222;0.561966132;79.96021119;1.574183392;0.608865075;4.534212696;5.730319317;3.830016887;34.16001593;1.728483976;0.279544343;2.306773773
5390;0;6.814774431;4.044762033;6.659563133;2.630540576;27.25149234;79.54837054;72.39933951;50.530571;66.78427419;21.24203424;1.232437762;8.435767655
5400;0;0;0.524191435;0;0;0.499126529;0.99000099;0.492853622;0;1.934235977;0;0.465657742;0
5411;0;1.096130659;0;9.667024705;0;0;19.73001038;9.243093355;7.145044401;39.62206644;84.33245275;3.988831272;2.988047809
5425;0;8.92515619;8.837268022;80.04002001;6.226650062;4.994381321;7.483162884;1.243162606;7.429420505;21.01359703;6.16674889;15.81316142;171.5745924
5440;0;0.189713722;0;0.920827271;0.362529002;0.17796761;0.873774531;1.712446058;0.669826013;0.98080884;0;0.154691005;0.602418711
5467;0;1.291322314;1.275184902;7.588212976;0;1.285016705;2.601456816;0;0;27.93296089;1.503759398;1.497005988;0
5475;0;2.629503024;0;0;0;0;0;2.275312856;2.237136465;0;0;4.072490328;9.827044025
5480;0;0.993739442;7.857774285;0;12.41168608;9.344047842;16.34432035;20.88772846;13.11690441;10.08142691;0.74343915;20.01286541;57.05832629
5483;0;3.141032353;1.034661148;0;0;0;7.862407862;1.952552963;2.925687537;0.982414776;0;0;0
5490;0;10.17367924;8.454923181;3.360779701;6.718978715;5.080686135;25.19746087;45.08196721;25.93535373;22.31393061;61.20538607;43.28185237;82.99234806
5495;0;1.081958345;0;4.75787693;1.563477173;2.565154935;1.00715077;3.440817932;0.471675864;1.770068148;2.890054085;80.26366809;54.40492271
5501;0;0;0;3.28407225;3.265839321;0;36.07740243;0;3.246753247;25.94875122;12.99967501;0;6.349206349
5541;0;0;0;0;0;1.074979844;0;0.517946859;1.524777637;1.992428771;0;0;1.400102674
5543;0;0;0;90.10238908;8.066684593;3.968253968;2.613012804;0;0;73.78196158;5.044772355;1.235025318;0
5576;0;0;0;1.147446931;0;2.272985567;2.269117313;0;0;3.455823062;2.329644729;1.154201293;1.151941021
5579;0.830518797;46.5477114;20.10797708;26.20731075;21.8328841;10.63546929;46.01993321;14.61339735;17.41345254;13.73768792;9.029228904;7.63086941;49.69037155
5585;0;13.77647667;14.77608547;5.096839959;7.031524669;20.17527268;15.6402737;15.24693404;10.21311364;7.654836465;4.222972973;4.172461752;30.58954394
5591;0.588304506;6.393861893;2.301231159;18.31501832;2.929287012;3.094059406;10.06036217;28.10567735;21.60760588;7.864964608;4.683566536;0.553863196;18.32884097
5604;0.462043155;4.539470698;4.012483281;6.567713122;0.429350393;2.099958001;7.418397626;10.09326174;7.874325761;16.01708489;2.943124126;0.351926799;33.37806682
5607;0;1.07521101;0;2.557544757;0;1.460422549;1.904127196;0.467464473;1.837137739;1.353424163;0;0;0
5615;0.382727508;0.189018051;0.279978722;2.025111381;0.543256825;0.266432206;1.044959377;0.510994907;0.413766851;0;0.076847412;0;0.143314726
5628;0;7.199424046;1.191469081;14.13094677;1.16184501;0;14.80132073;4.526422994;4.505011826;4.505011826;2.245424947;0;1.09229929
5631;0;3.119670563;0.822030415;92.24642393;2.203481501;0.984058256;3.660604192;5.541087161;3.374217603;15.24390244;2.599529485;1.213960546;2.33961911
5642;0;0.528010983;1.045369015;1.038745196;0;0;10.64187297;16.21833231;2.787223368;12.23990208;0.556080743;0;2.744538369
5647;0;0;0;0;0;1.445295563;2.864098525;7.10732054;5.652112477;5.641748942;1.405481377;0;52.48618785
5649;0;0.680272109;0;0;0;0;0;47.83183334;5.639451093;16.26524867;4.373906523;4.923985967;5.646173149
5652;0;0;0;0;0;0;3.645643456;7.234581299;7.222824124;0;3.592599246;0;0
5656;0;0;22.71659094;15.2230172;8.153583871;2.162941601;39.45606989;6.216757616;13.59711741;192.9152383;25.97921663;5.207994271;13.36728199
5658;0;0;0;6.118078923;6.044122091;0;2.948982601;2.918004085;2.899391128;0;0;0;0
5659;0.514191691;3.088962109;3.580013297;2.031178591;0;3.058883508;5.61052739;8.635578584;5.564267287;30.31681067;34.86961795;29.86114567;37.4714098
5660;0;0;0;0;0;0;60.17830609;8.0924005;33.85340006;23.94313505;4.595236272;0;11.50747986
5664;0;0.443773853;0;1.30468818;0;0;2.563226247;2.60473193;0.89361512;2.282896539;0;1.822406488;1.78197532
5665;0.705940489;5.613444199;1.391062424;5.164577882;3.740224413;11.41667506;22.2954311;12.87893798;3.946978917;4.268032437;8.202099738;53.0195267;25.97320326
5667;0.706264567;0;1.373249107;44.13661981;0.670735797;0.663217933;26.2605042;6.5142336;10.37277147;20.71063362;0;0;5.117707267
5670;0;1.581361025;1.03669915;1.017501018;0.499925011;2.461599055;2.913611421;3.839692825;1.903674091;10.89015152;0.472255018;0;1.857613895
5674;0.503347259;1.989258007;0;2.44188318;0.990246076;2.567525932;1.549746875;0;2.465848005;0.957029381;0;0;0
5679;0;0;0;15.56886228;0.789577576;1.953430223;2.323780015;1.919901701;1.910438637;115.7169502;12.52371917;5.600358423;2.597980998
5686;0;0;0;3.736688049;0.305642154;0.59962823;2.06264549;0;0.286861733;0.568246392;1.125524072;0;0
5690;1.798722907;2.67594327;1.767252806;3.497420652;3.450060376;0.850557115;0.840053763;0.833958802;0;3.290556104;10.69430734;0.80684202;7.301638812
5697;0;0;0.322924403;1.594591147;0.628436764;0;0.305175781;0.903886713;1.488715536;0.587233543;0.289092539;0.282310429;0
5736;0;3.173504126;6.008067977;23.79199003;3.634228845;14.88259288;8.99820036;4.59969155;7.813341955;18.01123686;1.872659176;2.110817942;36.9585444
5756;0.260674626;1.030715316;0;1.775748351;0.7764578;0.271879503;0.833379632;1.66787124;0.834121114;0.836073797;0;0.550645632;6.869264164
5761;0;37.90045767;16.98874496;25.93579139;12.50781739;1.382265533;35.04913752;21.85195302;22.41086587;25.08814755;2.703798837;3.985916429;5.231151507
5789;0.594671741;1.17584808;0;36.2423057;0.569411229;1.129433025;1.126570157;1.692811195;1.722850744;13.66039081;0.612369871;0;0.617550794
5790;0.63417573;5.330657552;1.553615263;7.462686567;4.591518809;30.09505634;2.30379358;1.923816853;2.682917481;5.341065161;1.894872475;35.2321614;42.88258168
5792;0;36.13974033;0;11.81257383;27.54098361;1.321353066;1.330140995;81.41112619;78.70635375;7.673419276;6.433971369;3.234152652;17.75912173
5809;0;0;0;19.94301994;0;0.826924667;0;1.732952084;8.73743993;129.2796006;5.507113355;0.928074246;15.86412841
5819;3.749531309;1.849454411;0;16.34283639;1.869158879;8.07102502;6.238303182;12.46364769;16.48125258;4.097521;2.04248366;4.005607851;0
5837;0.334118512;15.04822082;6.681018484;0.654852044;6.944841617;6.581491201;7.81995983;26.79098119;11.99911843;8.152550525;2.688128248;19.42963581;34.64900247
5842;0;0;19.43256899;0;0;2.860821056;4.4345898;50.28841887;42.80442804;19.17121369;0;0;1.454545455
5847;0;0;0;0.875196919;0.60406536;0.32676535;0.676979318;0.339017527;1.690845761;2.69969291;0.336791055;0.331928171;0.984122819
5854;0;1.367147447;2.724053391;2.037351443;2.078425939;2.910360885;2.22057735;4.431969272;11.77249651;48.53654949;5.153880135;2.8983407;25.80645161
5856;1.536570375;0;5.999700015;11.8623962;1.464557704;20.23413788;35.85257421;17.17967072;83.7908119;284.6975089;30.46922608;4.616805171;6.190034045
5858;0;0;0.832431533;18.85091386;1.610305958;21.37259558;57.87580166;5.46234881;0;4.868944251;5.034401745;0;52.05709488
5861;0;8.537886873;11.27236861;9.165902841;3.703429376;1.663478333;1.752694768;7.911392405;4.384426517;55.18087063;7.871261151;0.861920359;0.859401856
5873;0;1.744591766;0;8.362602442;0;0;0;2.965599051;0;1.27000254;4.693183151;5.498735291;1.079330815
5885;0;1.503985562;16.33501634;79.10928802;1.444460494;2.839698992;12.59974801;2.766634389;0;5.417118093;0;0;9.174311927
5887;0;0.771287536;0;3.243027491;0.992555831;0.248256002;0.742923652;2.710828528;3.19284802;2.69488951;0.976753272;0.240720235;0.712318359
5890;0.968241673;3.833437156;10.90254077;27.67354597;4.177691129;6.437965603;11.40042866;8.158825129;8.126043971;48.16131791;4.953170029;2.662170556;36.00867679
5893;4.311583788;25.5065892;12.55755546;54.18381344;17.50016827;29.00079093;56.7119933;26.35872976;11.53192522;10.43115438;3.865694721;3.151260504;19.36404403
5895;0;9.401441554;6.601941748;2.706464584;1.569427551;6.533278889;17.01033066;8.693132425;18.16005613;2.060411258;4.118276913;5.679282788;31.33677112
8001;20.54677049;22.61366846;11.8865639;22.8422282;5.676832509;7.735096652;33.59131944;21.75078378;11.46057375;5.288237885;5.719603943;13.91837482;14.92289969
8078;6.592081968;62.92810603;12.62811127;11.92045803;5.529099114;12.85958391;40.2558249;30.01397202;15.01450264;4.20182191;1.1565851;25.96902953;64.35818873
8137;3.528047981;0.496130185;4.897879218;3.871842029;1.916994153;0;6.593199586;10.7366259;2.314493357;0;1.798399425;0;13.77529057
8141;28.487774;5.404988032;24.92070684;28.85682575;6.538796861;2.146844139;10.56486829;94.20892214;9.508931604;1.325820351;1.941496246;0.625703917;18.0201826
8296;19.2146031;19.57934083;4.985922102;18.55987008;0.572786895;1.970276965;37.14629083;59.12140452;95.57945042;14.53806783;6.936909696;22.4023193;10.11515717
